                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.4571,                 1.4096,                 1.4865,                0.88667,                0.65863,                0.79356,                0.54643,                 1.1906,                 1.0985,                 1.3462,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.4363,                 1.4069,                 1.4978,                0.81543,                0.66265,                0.78039,                 0.5311,                 1.1963,                 1.1455,                 1.3417,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.4608,                 1.4352,                 1.5445,                0.85538,                0.68886,                0.80426,                0.56916,                 1.1325,                 1.0801,                  1.312,               0.000515,               0.000515,               0.000515
                     77,                 1.4165,                  1.333,                 1.5474,                0.87939,                0.65863,                0.80118,                0.53344,                 1.2245,                 1.1455,                 1.3478,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.4101,                 1.2899,                 1.4634,                0.88186,                0.65951,                0.80546,                0.57661,                 1.1149,                 1.1182,                 1.3072,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.4095,                 1.3877,                 1.5295,                0.87101,                 0.7051,                0.80822,                 0.5795,                 1.1229,                 1.0649,                 1.3166,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.4324,                 1.3389,                 1.4773,                0.88515,                0.68092,                 0.8035,                 0.5682,                 1.1507,                 1.0592,                 1.3103,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.4257,                 1.3636,                 1.4488,                0.87772,                0.65462,                0.79306,                0.56785,                 1.0836,                 1.1204,                 1.2819,               0.000416,               0.000416,               0.000416
                     82,                 1.3392,                 1.1781,                 1.4135,                0.88527,                 0.6506,                 0.7962,                0.55815,                 1.1239,                 1.1174,                 1.2943,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.3269,                 1.2521,                 1.4674,                0.81025,                0.75502,                 0.8255,                  0.584,                 1.1339,                 1.0013,                  1.298,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.3592,                 1.2619,                 1.4345,                0.91798,                0.68675,                0.84029,                0.60973,                 1.0813,                0.94611,                 1.2794,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.3869,                 1.3212,                 1.4948,                0.92933,                0.68656,                0.82969,                0.60292,                 1.0856,                 1.0208,                 1.2693,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.4278,                 1.3321,                 1.5887,                0.92137,                0.70591,                0.82516,                0.60707,                 1.0582,                 1.0463,                 1.2571,               0.000317,               0.000317,               0.000317
